female,prechod,C,D,OR6,OR8,sig_OR6,sig_OR8,OR86,barva
0. male,N1C_N1,euro1,euro1,,,nesig,nesig,,B4
0. male,N1C_N1,euro1,euro10,2,0.5873015873,nesig,nesig,0.2936507937,B4
0. male,N1C_N1,euro1,euro2,1.2,3,nesig,nesig,2.5,B4
0. male,N1C_N1,euro1,euro5,3.875,8.25,sig,sig,2.1290322581,B1
0. male,N1C_N1,euro1,euro6,,4.1111111111,nesig,nesig,,B4
0. male,N1C_N1,euro1,euro7,3.6666666667,2.1428571429,nesig,nesig,0.5844155844,B4
0. male,N1C_N1,euro1,euro8,,,nesig,nesig,,B4
0. male,N1C_N1,euro1,euro9,5,5.3333333333,sig,sig,1.0666666667,B1
0. male,N1C_N1,euro10,euro1,2,0.5873015873,nesig,nesig,0.2936507937,B4
0. male,N1C_N1,euro10,euro10,,,nesig,nesig,,B4
0. male,N1C_N1,euro10,euro11,3.0833333333,12,nesig,nesig,3.8918918919,B4
0. male,N1C_N1,euro10,euro2,1.5416666667,4,nesig,nesig,2.5945945946,B4
0. male,N1C_N1,euro10,euro3,2.3125,,nesig,nesig,,B4
0. male,N1C_N1,euro10,euro5,1.8461538462,1.7142857143,nesig,nesig,0.9285714286,B4
0. male,N1C_N1,euro10,euro6,,5.2857142857,nesig,nesig,,B4
0. male,N1C_N1,euro10,euro7,3,1.5,nesig,nesig,0.5,B4
0. male,N1C_N1,euro10,euro9,11.333333333,0.9230769231,sig,nesig,0.0814479638,B2
0. male,N1C_N1,euro11,euro10,3.0833333333,12,nesig,nesig,3.8918918919,B4
0. male,N1C_N1,euro11,euro11,,,nesig,nesig,,B4
0. male,N1C_N1,euro11,euro9,2.5714285714,1.3214285714,nesig,nesig,0.5138888889,B4
0. male,N1C_N1,euro12,euro12,,,nesig,nesig,,B4
0. male,N1C_N1,euro12,euro3,9.25,,nesig,nesig,,B4
0. male,N1C_N1,euro12,euro7,,4.1111111111,nesig,nesig,,B4
0. male,N1C_N1,euro12,euro9,2.4666666667,,nesig,nesig,,B4
0. male,N1C_N1,euro2,euro1,1.2,3,nesig,nesig,2.5,B4
0. male,N1C_N1,euro2,euro10,1.5416666667,4,nesig,nesig,2.5945945946,B4
0. male,N1C_N1,euro2,euro2,,,nesig,nesig,,B4
0. male,N1C_N1,euro2,euro5,4.1212121212,1.15625,nesig,nesig,0.2805606618,B4
0. male,N1C_N1,euro2,euro9,3.7777777778,1.8461538462,nesig,nesig,0.4886877828,B4
0. male,N1C_N1,euro3,euro10,2.3125,,nesig,nesig,,B4
0. male,N1C_N1,euro3,euro12,9.25,,nesig,nesig,,B4
0. male,N1C_N1,euro3,euro3,,,nesig,nesig,,B4
0. male,N1C_N1,euro3,euro9,0.6166666667,,nesig,nesig,,B4
0. male,N1C_N1,euro5,euro1,3.875,8.25,sig,sig,2.1290322581,B1
0. male,N1C_N1,euro5,euro10,1.8461538462,1.7142857143,nesig,nesig,0.9285714286,B4
0. male,N1C_N1,euro5,euro2,4.1212121212,1.15625,nesig,nesig,0.2805606618,B4
0. male,N1C_N1,euro5,euro5,,,nesig,nesig,,B4
0. male,N1C_N1,euro5,euro6,,4.625,nesig,nesig,,B4
0. male,N1C_N1,euro5,euro7,17.142857143,1.2857142857,sig,nesig,0.075,B2
0. male,N1C_N1,euro5,euro8,,4.625,nesig,nesig,,B4
0. male,N1C_N1,euro5,euro9,3.0138888889,1.4583333333,nesig,nesig,0.4838709677,B4
0. male,N1C_N1,euro6,euro1,,4.1111111111,nesig,nesig,,B4
0. male,N1C_N1,euro6,euro10,,5.2857142857,nesig,nesig,,B4
0. male,N1C_N1,euro6,euro5,,4.625,nesig,nesig,,B4
0. male,N1C_N1,euro6,euro6,,,nesig,nesig,,B4
0. male,N1C_N1,euro6,euro7,,4.1111111111,nesig,nesig,,B4
0. male,N1C_N1,euro6,euro9,,,nesig,nesig,,B4
0. male,N1C_N1,euro7,euro1,3.6666666667,2.1428571429,nesig,nesig,0.5844155844,B4
0. male,N1C_N1,euro7,euro10,3,1.5,nesig,nesig,0.5,B4
0. male,N1C_N1,euro7,euro12,,4.1111111111,nesig,nesig,,B4
0. male,N1C_N1,euro7,euro5,17.142857143,1.2857142857,sig,nesig,0.075,B2
0. male,N1C_N1,euro7,euro6,,4.1111111111,nesig,nesig,,B4
0. male,N1C_N1,euro7,euro7,,,nesig,nesig,,B4
0. male,N1C_N1,euro7,euro9,3,17.142857143,nesig,sig,5.7142857143,B3
0. male,N1C_N1,euro8,euro1,,,nesig,nesig,,B4
0. male,N1C_N1,euro8,euro5,,4.625,nesig,nesig,,B4
0. male,N1C_N1,euro8,euro8,,,nesig,nesig,,B4
0. male,N1C_N1,euro9,euro1,5,5.3333333333,sig,sig,1.0666666667,B1
0. male,N1C_N1,euro9,euro10,11.333333333,0.9230769231,sig,nesig,0.0814479638,B2
0. male,N1C_N1,euro9,euro11,2.5714285714,1.3214285714,nesig,nesig,0.5138888889,B4
0. male,N1C_N1,euro9,euro12,2.4666666667,,nesig,nesig,,B4
0. male,N1C_N1,euro9,euro2,3.7777777778,1.8461538462,nesig,nesig,0.4886877828,B4
0. male,N1C_N1,euro9,euro3,0.6166666667,,nesig,nesig,,B4
0. male,N1C_N1,euro9,euro5,3.0138888889,1.4583333333,nesig,nesig,0.4838709677,B4
0. male,N1C_N1,euro9,euro6,,,nesig,nesig,,B4
0. male,N1C_N1,euro9,euro7,3,17.142857143,nesig,sig,5.7142857143,B3
0. male,N1C_N1,euro9,euro9,,,nesig,nesig,,B4
0. male,N1C_N1C,euro1,euro1,,,nesig,nesig,,B4
0. male,N1C_N1C,euro1,euro10,4.1434128192,3.8530292782,sig,sig,0.9299168213,B1
0. male,N1C_N1C,euro1,euro11,3.3489761092,3.5195238095,sig,sig,1.0509253261,B1
0. male,N1C_N1C,euro1,euro12,6.7546410199,11.981751825,sig,sig,1.7738547155,B1
0. male,N1C_N1C,euro1,euro2,4.1088218409,4.3956834532,sig,sig,1.069816026,B1
0. male,N1C_N1C,euro1,euro3,12.71977507,12.189563365,sig,sig,0.9583159528,B1
0. male,N1C_N1C,euro1,euro4,5.9885945548,5.0692431562,sig,sig,0.8464829452,B1
0. male,N1C_N1C,euro1,euro5,4.5433566434,5.1758786068,sig,sig,1.1392190869,B1
0. male,N1C_N1C,euro1,euro6,7.3836163836,5.4146520147,sig,sig,0.7333333333,B1
0. male,N1C_N1C,euro1,euro7,7.8474842767,5.9648481154,sig,sig,0.7600968546,B1
0. male,N1C_N1C,euro1,euro8,4.465301479,4.5163170163,sig,sig,1.0114248809,B1
0. male,N1C_N1C,euro1,euro9,6.5868263473,6.2008379157,sig,sig,0.9413999381,B1
0. male,N1C_N1C,euro10,euro1,4.1434128192,3.8530292782,sig,sig,0.9299168213,B1
0. male,N1C_N1C,euro10,euro10,,,nesig,nesig,,B4
0. male,N1C_N1C,euro10,euro11,5.5738134206,3.5682758621,sig,sig,0.6401857387,B1
0. male,N1C_N1C,euro10,euro12,2.3338624339,2.7842969552,sig,sig,1.1929996022,B1
0. male,N1C_N1C,euro10,euro2,3.8107888317,3.8280936455,sig,sig,1.0045410057,B1
0. male,N1C_N1C,euro10,euro3,5.4850352113,2.8676209952,sig,sig,0.5228081288,B1
0. male,N1C_N1C,euro10,euro4,2.1224053724,1.8911706695,sig,sig,0.8910506419,B1
0. male,N1C_N1C,euro10,euro5,2.9093647317,4.193359375,sig,sig,1.4413316176,B1
0. male,N1C_N1C,euro10,euro6,5.6085185185,5.8315068493,sig,sig,1.039758865,B1
0. male,N1C_N1C,euro10,euro7,2.9151000606,2.189023406,sig,sig,0.7509256494,B1
